ok	pageid	title	yomi
	704	青	（シヤウ）
	923	間	（あり）
	925	日	呉音、漢音
	966	血	呉音漢音
	967	火	（）（例、、）
	970	目	呉音漢音
	995	弁	、（瓣の代替字として）
	1004	象	呉音（）漢音（）
	1021	機	呉音（常用外）漢音
	1038	秋	呉音漢音（）
	1744	月	（グヮチ）・ゴチ（推定音）・（グヮツ慣用音とも）（グ<small>ヱ</small>ツ）（グヮツ呉音とも）
	7849	十	()、()(表外)「十」の伝来時の音は{{IPAchar|[ʑip]}}と推定され、当時の日本語にない[-p]の音（）は「-フ（音は{{IPAchar|[-ɸu]}}と推定されている）」と音写されたため、「十」は「ジフ」として受け入れられ、後に「ジュウ」に変化した。一方、入声はksthpといった無声子音が後続するときは化するという性質（例.合[ガフ]→合算[ガッサン]）があったため、「十」も促音便は「ジッ」であり「十本」は「ジッポン」、「十間」は「ジッケン」と発音された。近年になり、「ジュウ」の音に引きずられ、促音便は「ジュッ」が広く受け入れられるようになった<refname="NHK"/>。では、備考に「『ジュッ』とも。」と注記されている<refname="Joyokanjihyo"/>。'''十'''円('''じゅう'''えん)'''十'''個(現代の発音'''じゅっ'''こ、伝統的な発音'''じっ'''こ)
o	8950	幣	ベイ、ヘイ
	9352	万	<refname="morohashi104man">『大漢和辞典巻一』（諸橋轍次著、大修館書店）104ページ「万」項</ref><refname="shinchou28man">『新潮日本語漢字辞典』（新潮社編、新潮社）28ページ「万」項</ref>、<refname="todo20on">『学研新漢和大字典』（藤堂明保・加納喜光編、学習研究社）20ページ「万」項「音」欄。'''藤堂らは「万」の呉音を「モン」とし、「マン」は慣用音であるとする。'''</ref><refname="morohashi104man"/><refname="shinchou28man"/><refname="todo20on"/>
	9400	上	例．（'''ジョウ'''キョウ）例．（'''ショウ'''ニン）例．（'''シャン'''ハイ）
	9816	硫	（「流」に同じ）
	9829	素	常用漢字表内常用漢字表外、
	10155	左	・
	10173	孫	・
	10202	東	（ツゥ）（トゥ）
	10220	兄	（）（古代音クヰャウ）
	10257	酒	（シウ）
	10276	南	、（南無）
	10512	入	（ニフであり無声子音の前では、「ニッ」となる）（ジフ）
	10515	出	（最後の「ツ」はしばしば化する）
	10519	龘	（タフ）
	10541	風	、（常用外）
	11298	星	（シヤウ）
	12986	林	(リム)(リム)
	13295	九	（）キュウ（キウ）常用漢字表内、常用漢字表外、、
	14047	減	(ケム)(表外)、(カム)(表外)
	14630	分	、、（促音から続く場合）
	14635	鳥	・()
	14950	校	()、()［カウ］
	15079	石	、（の音より）
	16295	藹	・
	16304	膾	エ（ヱ）、（ク<small>ヱ</small>推定音）（クヮイ）
	16307	撓	(ネウ)(ダウ)(タウ)
	16420	海	（現代音；）
	17566	行	（ギヤウ）、(表外)（カウ）、(表外)ギョウ（ギヤウ）
	17759	鬯	（チャウ）（チャウ）
	17816	龍	（リュゥ）（リョゥ）（ロゥ）
	17823	道	（ダウ）（タウ）
	18031	己	常用漢字表内、常用漢字表外誤読（「」の誤り）、
