pageid	title	is_kanji	joyo	edu_year	sokaku	busyu	busyu_kaku	joyo_yomi	onyomi_go	onyomi_kan	onyomi_other	kunyomi_nai	kunyomi_gai	kunyomi_other	jis	kuten
704	青	1	1	1	8	青	0	せい,せい	ショウ	セイ	チン	あお,あお-い			4044	1,32,36
711	靑	1	0	0	8	靑	0				せい,しやう,しょう			あお,あを		,,
800	藍	1	1	7	18	艸	15		ラン,ラム					あい,あお,あお-い	4D75	1,45,85
915	項	1	1	7	12	頁	3	こう	ゴウ,ガウ	コウ,カウ				うなじ,うな,くび	3960	,25,64
923	間	1	1	2	12	門	4	かん,かん	ケン	カン				あいだ,ま	3456	1,20,54
924	概	1	1	7	14	木	10		カイ		ガイ		おおむ-ね,とかき		3335	1,19,21
925	日	1	1	1	4	日	0	にち,にち			ニチ,ニッ,ジツ	ひ,か	たち,す,こう,くさ,いる,あき,び,へ		467C	1,38,92
926	達	1	1	4	12	辵	9	たつ,たつ	ダチ	タツ				いた-る	4323	1,35,03
930	亜	1	1	7	7	二	5		エ	ア				つ-ぐ,みにく-い,アール	3021	,16,01
931	亞	1	0	0	8	二	6		エ	ア				つ-ぐ	5033	,48,19
933	私	1	1	6	7	禾	2	,	シ		ス	わたくし,わたし	わたくし-する,わし,ひそ-か		3B64	1,27,68
939	鬚	1	0	0	22	髟	12		ス	シュ				ひげ,あごひげ	7224	1,82,4
966	血	1	1	3	6	血	0	けつ,けつ			ケチ,ケツ			ち		
967	火	1	1	1	4	火	0	か,か		カ,くわ	コ			ひ,ほ	3250	1,18,48
968	根	1	1	3	10	木	6	こん,こん		コン				ね		
969	蚊	1	1	7	10	虫	4	か	モン	ブン		か			3263	1,18,67
970	目	1	1	1	5	目	0	もく,もく			モク,ボク	め,ま	さがん,さっか,さつか,さかん		4C5C	1,44,60
971	手	1	1	1	4	手	0	しゆ,しゆ	しゅ	しゅう	ず			て,た,てずから	3C6A	1,28,74
972	胃	1	1	4	9	肉	5	,		イ,ヰ						
974	死	1	1	3	6	歹	2	,	シ			し-ぬ	ころ-す		3B60	1,27,64
975	し	0	0	0	6	歹	2		シ			し-ぬ	ころ-す		3B60	1,27,64
976	鵜	1	0	0	18	鳥	7		ダイ	テイ				う	312D	1,17,13
977	屁	1	0	0	7	尸	4			ヒ				へ		
978	ち	0	0	0	7	尸	4			ヒ				へ		
979	ね	0	0	0	7	尸	4			ヒ				へ		
980	か	0	0	0	7	尸	4			ヒ				へ		
983	い	0	0	0	7	尸	4			ヒ				へ		
986	ひ	0	0	0	7	尸	4			ヒ				へ		
992	混	1	1	5	11	水	8	,	コン,ゴン			ま-じる,ま-ざる,ま-ぜる,こ-む	ま-じり		3A2E	1,26,14
994	あ	0	0	0	11	水	8		コン,ゴン			ま-じる,ま-ざる,ま-ぜる,こ-む	ま-じり		3A2E	1,26,14
995	弁	1	1	5	5	廾	2	へん,べん,へん,べん	ベン	ヘン,ハン				かんむり,わける,わきまえる	4A5B	1,42,59
996	芸	1	1	4	7	艸	4	けい,げい,けい,げい	ゲ	ゲイ,ウン					375D	1,23,61
997	藝	1	0	0	18	艸	15		ゲ	ゲイ				う-える,のり,わざ	693A	1,73,26
1004	象	1	1	4	12	豕	5	そう,ぞう,そう,ぞう			ぞう,ざう,しょう,しやう			かたち,かたど-る,のり	3E5D	1,30,61
1011	う	0	0	0	12	豕	5				ぞう,ざう,しょう,しやう			かたち,かたど-る,のり	3E5D	1,30,61
1013	え	0	0	0	12	豕	5				ぞう,ざう,しょう,しやう			かたち,かたど-る,のり	3E5D	1,30,61
1014	お	0	0	0	12	豕	5				ぞう,ざう,しょう,しやう			かたち,かたど-る,のり	3E5D	1,30,61
1015	き	0	0	0	12	豕	5				ぞう,ざう,しょう,しやう			かたち,かたど-る,のり	3E5D	1,30,61
1016	く	0	0	0	12	豕	5				ぞう,ざう,しょう,しやう			かたち,かたど-る,のり	3E5D	1,30,61
1021	機	1	1	4	16	木	12	き,き			ケ,キ			はた,おり	3521	1,21,1
1022	ゐ	0	0	0	16	木	12				ケ,キ			はた,おり	3521	1,21,1
1023	ゑ	0	0	0	16	木	12				ケ,キ			はた,おり	3521	1,21,1
1029	け	0	0	0	16	木	12				ケ,キ			はた,おり	3521	1,21,1
1030	こ	0	0	0	16	木	12				ケ,キ			はた,おり	3521	1,21,1
1032	さ	0	0	0	16	木	12				ケ,キ			はた,おり	3521	1,21,1
1033	す	0	0	0	16	木	12				ケ,キ			はた,おり	3521	1,21,1
1035	そ	0	0	0	16	木	12				ケ,キ			はた,おり	3521	1,21,1
1038	秋	1	1	2	9	禾	4	しゆう,しゆう			シュ,シュウ,シウ			あき,とき	3D29	1,29,9
1039	春	1	1	2	9	日	5	しゆん,しゅん,しゆん,しゅん		シュン				はる	3D55	1,29,53
1040	つ	0	0	0	9	日	5			シュン				はる	3D55	1,29,53
1041	夏	1	1	2	10	夊	7	か,か	ゲ	カ				なつ		
1042	冬	1	1	2	5	冫	3	とう,とう	トウ					ふゆ	455F	1,37,63
1043	と	0	0	0	5	冫	3		トウ					ふゆ	455F	1,37,63
1744	月	1	1	1	4	月	0	,	ガチ,ガツ	ゲツ				つき	376E	1,23,78
1762	机	1	1	6	6	木	2	き,き	キ			つくえ			3479	1,20,89
1863	卵	1	1	6	7	卩	5	らん,らん		ラン				たまご	4D71	1,45,81
1909	仙	1	1	7	5	人	3	せん		セン					4067	1,32,71
1921	年	1	1	1	6	干	3	ねん,ねん	ネン	デン		とし	ね		472F	1,39,15
2110	耳	1	1	1	6	耳	0	,	ニ	ジ	ル			みみ	3C2A	1,28,10
2259	氧	1	0	0	10	气	6									
2364	钬	1	0	0	9	金	4									
2369	水	1	1	1	4	水	0	すい,すい		スイ				みず,みづ,み	3F65	1,31,69
2408	西	1	1	2	6	西	0	せい,せい	サイ	セイ	スイ			にし	403E	1,32,30
2478	眠	1	1	7	10	目	5	みん	メン	ベン	ミン				4C32	1,44,18
2482	听	1	0	0	7	口	4		ゴン,チョウ,チャゥ	ギン,テイ,ティ				ぽんど,わら-う	5261	1,50,65
2513	硬	1	1	7	12	石	7	こう,こう,硬	ギョウ,ギャゥ	ゴウ,ガゥ	コウ,カゥ	かた-い			3945	1,25,37
2573	鉄	1	1	3	13	金	5	,	テチ	テツ				くろがね,かね	4534	1,37,20
2649	狐	1	0	0	8	犬	5		グ,ゴ	コ				きつね	3851	1,24,49
2653	狸	1	0	0	10	犬	7		リ					たぬき	432C	1,35,12
2656	後	1	1	2	9	彳	6	こ,ご,こ,ご	グ	コウ	ゴ			うしろ,あと,のち,おく-れる	3865	1,24,69
2666	一	1	1	1	1	一	0	いち,いち	イチ	イツ		ひと,ひと-つ	はじめ,てん,かづ,かつ,いる,まこと,かず,おさむ,か,かた,くに,さね,すすむ,たか,ただ,ち,のぶ,はじむ,ひ,ひじ,ひで,ひと,ひとし,まさし,もと,もろ		306C	,16,76
2897	千	1	1	1	3	十	1	せん,せん		セン				ち	4069	1,32,73
2981	蒼	1	0	0	13	艸	10		ソウ,サゥ					あお-い	4173	1,33,83
2982	紅	1	1	6	9	糸	3	こう,こう	グ	コウ	ク			べに,くれない,くれなゐ,あかい	3948	1,25,40
3329	飜	1	0	0	21	飛	12		ホン	ハン				ひるが-えす,ひるが-える	664C	1,70,44
3503	腐	1	1	7	14	肉	8	ふ	ブ	フ				くさ-る,く-ちる,く-つ	4965	1,41,69
3535	二	1	1	1	2	二	0	に,に	ニ	ジ				ふた,ふう	4673	1,38,83
3738	步	1	0	0	7	止	3		ブ	ホ	フ			あるく,あゆむ,あゆみ	7643	1,86,35
3739	歩	1	1	2	8	止	4	ほ,ほ	ブ	ホ	フ	ある-く,あゆ-む			4A62	1,42,66
7119	市	1	1	2	5	巾	2	し,し	ジ	シ				いち	3B54	1,27,52
7143	du	1	0	0	5	巾	2		ジ	シ				いち	3B54	1,27,52
7202	親	1	1	2	16	見	9	しん,しん	シン			おや,した-しい,した-しむ	ちか,のり,ぎ		3F46	1,31,38
7403	愛	1	1	4	13	心	9	,	アイ,オ				め-でる,いつく-しむ,お-しむ,いと-しい,え,まな		3026	,16,06
7619	唖	1	0	0	10	口	7		エ,ヤク	ア,アク				おし	3022	1,16,02
7633	燐	1	0	0	17	火	13			リン					4E55	1,46,53
7650	磷	1	0	0	17	石	12		リン					なが-れる,うすい,うす-らぐ,きらら	792E	1,89,14
7826	花	1	1	1	7	艸	4	か,か	ケ,クヱ	カ,クヮ		はな	わ		3256	1,18,54
7828	鼻	1	1	3	14	鼻	0	,	ビ	ヒ				はな	4921	1,41,01
7848	百	1	1	1	6	白	1	ひやく,ひゃく,ひやく,ひゃく	ヒャク	ハク			もも,もんど,ひゅく,ひゃっ,なり,どう,ゆ,お		4934	1,41,20
7849	十	1	1	1	2	十	0	,	ジュウ,ジフ,ジッ	シュウ,シフ	ジュッ	とお,と			3D3D	,29,29
7855	極	1	1	4	12	木	8	きよく,きょく,きよく,きょく	ゴク	キョク		きわ-める,きわ-まる,きわ-み	きわ-まり,き-める,ぎ-め,き-まる		364B	1,22,43
7929	音	1	1	1	9	音	0	おん,おん	オン	イン		おと,ね			323B	1,18,27
8679	載	1	1	7	13	車	6		サイ,ザイ					の-る,の-せる	????	,,
8680	正	1	1	1	5	止	1	せい,せい	ショウ,シャゥ	セイ,セィ				ただ-しい,ただ-す,まさ-に	4035	1,32,21
8681	澗	1	0	0	15	水	12		ケン	カン				たに	????	,,
8815	口	1	1	1	3	口	0	こう,こう	ク	コウ				くち,ふり	387D	,24,93
8950	幣	1	1	7	15	巾	12	へい			ベイ,ヘイ			ぬさ	4A3E	1,42,30
8968	訓	1	1	4	10	言	3	くん,くん		クン	キン		おし-える,おし-え,よ-む		3731	1,23,17
9082	雨	1	1	1	8	雨	0	う,う	ウ			あめ,あま	さめ		312B	1,17,11
9340	溝	1	1	7	13	水	10	こう	ク	コウ				みぞ	3942	,25,34
9341	穣	1	0	0	18	禾	13		ニョウ	ジョウ				わら,ゆたか,みのる,しげ	3E77	1,30,87
9342	秭	1	0	0	9	禾	4			シ					????	,,
9344	垓	1	0	0	9	土	6			カイ	ガイ			はて	5436	,52,22
9347	京	1	1	2	8	亠	6	きよう,きよう,きよう,きよう	キョウ,キャゥ	ケイ,ケィ	キン			みやこ	357E	,21,94
9348	兆	1	1	4	6	儿	4	ちよう,ちよう	ジョウ	チョウ				きさ-す,きざ-し	437B	,35,91
9349	億	1	1	4	15	人	13	おく,おく	オク	ヨク			お		322F	1,18,15
9352	万	1	1	2	3	一	2	まん,まん	マン,モン	バン				よろず	4B7C	1,43,92
9365	赤	1	1	1	7	赤	0	せき,せき	シャク	セキ				あか,あか-い	4056	1,32,54
9369	えび茶	0	0	0	7	赤	0		シャク	セキ				あか,あか-い	4056	1,32,54
9400	上	1	1	1	3	一	2	しよう,じょう,しよう,じょう	ジョウ	ショウ	シャン			うえ,うわ,かみ,あ-がる,あ-げる,のぼ-る,のぼ-せる,たか-い,たか-まる,たか-める,ほとり	3E65	1,30,69
9816	硫	1	0	0	12	石	7		ル	リュウ					4E32	1,46,18
9823	酸	1	1	5	14	酉	7	さん,さん	サン			す-い			3B40	1,27,32
9829	素	1	1	5	10	糸	4	そ,そ	ス	ソ,もと,しろ					4147	1,33,39
9982	男	1	1	1	7	田	2	たん,だん,たん	ナン	ダン		おとこ	お,み		434B	1,35,43
9983	女	1	1	1	3	女	0	しよ,じょ,しよ,じょ	ニョ	ジョ,ヂョ	ニョウ			おんな,め,をとめ,おとめ,むすめ,なんじ	3D77	1,29,87
9989	子	1	1	1	3	子	0	し,し	シ		ス			こ,ね	3B52	1,27,50
10006	人	1	1	1	2	人	0	しん,じん,しん,じん	ニン	ジン				ひと	3F4D	,31,45
10007	氷	1	1	3	5	水	1	ひよう,ひょう,ひよう,ひょう		ヒョウ				こおり,ひ	4939	,41,25
10035	よう	0	0	0	5	水	1			ヒョウ				こおり,ひ	4939	,41,25
10037	明朝体	1	0	0	5	水	1			ヒョウ				こおり,ひ	4939	,41,25
10054	仏	1	1	5	4	人	2	,	ブツ	フツ				ほとけ	4A29	,42,9
10129	出歯亀	1	0	0	4	人	2		ブツ	フツ				ほとけ	4A29	,42,9
10150	右	1	1	1	5	口	2	う,う	ウ	ユウ				みぎ,たす-ける	3126	,17,06
10155	左	1	1	1	5	工	2	さ,さ		サ				ひだり	3A38	1,26,24
10158	天	1	1	1	4	大	1	てん,てん		テン				あま,あめ	4537	,37,23
10159	地	1	1	2	6	土	3	ち,ち	ジ,ヂ	チ				つち	434F	1,35,47
10173	孫	1	1	4	10	子	7	そん,そん		ソン				まご	4239	1,34,25
10197	妹	1	1	2	8	女	5	まい,まい		マイ				いもうと,いも	4B65	,43,72
10198	姉	1	1	2	8	女	5	し,し		シ				あね	3B50	1,27,48
10202	東	1	1	2	8	木	4	とう,とう	ツウ	トウ				ひがし,あずま,あづま	456C	,37,76
10210	爪	1	1	7	4	爪	0		ショウ,セウ	ソウ,サウ		つめ,つま			445E	1,36,62
10211	蛇	1	1	7	11	虫	5	しや,じゃ	ジャ,タ,イ	シャ	ダ	へび	み,あぶ,くちなわ		3C58	1,28,56
10212	槍	1	0	0	14	木	10		ソウ,サウ	ショウ,シャウ				やり	4164	,33,68
10213	豚	1	1	7	11	豕	4	とん	ドン	トン		ぶた			465A	1,38,58
10219	弟	1	1	2	7	弓	4	てい,てい	ダイ	テイ	デ			おとうと	446F	1,36,79
10220	兄	1	1	2	5	儿	3	きよう,きょう,きよう,きょう	キョウ,キャウ	ケイ		あに,にい-さん	せ,よし,え		373B	,23,27
10257	酒	1	1	3	10	酉	3	しゆ,しゅ,しゆ,しゅ	シュ	シュウ				さけ,さか	3C72	,28,82
10275	北	1	1	2	5	匕	3	ほく,ほく		ホク				きた	4B4C	,43,44
10276	南	1	1	2	9	十	7	なん,なん	ナン,ナ	ダン				みなみ	466E	,38,78
10280	山	1	1	1	3	山	0	さん,さん	セン,ゼン	サン,ザン				やま	3B33	,27,19
10281	川	1	1	1	3	巛	0	せん,せん		セン				かわ	406E	1,32,78
10512	入	1	1	1	2	入	0	にゆう,にゅう,にゆう,にゅう	ニュウ	ジュウ	ジュ			い-る,はい-る	467E	1,38,94
