pageid	title	busyu	sokaku	edu_kanji	joyo_kanji	onyomi	kunyomi	jiscode	kuten
704	青	*{{部首|青|0}}	*{{総画|8}}	[[Category:教育漢字 第1学年|せい]]	[[Category:常用漢字|せい]]	* 音読み,** [[呉音]] : [[ショウ]]（シヤウ）,** [[漢音]] : [[セイ]],** [[唐音]] : [[チン]]	* 訓読み,** 常用漢字表内,**: [[あお]]、[[あおい|あお-い]],**名のり,**:きよ、はる	** [[JIS]]*** 16進：4044	** [[区点]]：1面32区36点
711	靑	* {{部首|靑|0}}	* {{総画|8}}			*音読み: [[せい]]、[[しやう]]（[[しょう]]）	*訓読み: [[あお]]（[[あを]]）	** [[JIS]]：コード割り当て無し** [[Shift JIS]]	** [[区点]]：コード割り当て無し
800	藍	* {{部首|艸|15}}	* {{総画|18}} <!-- en版での総画数=20 -->		[[カテゴリ:常用漢字 2010年追加]]	* 音読み,** [[呉音]] : [[ラン]]([[ラム]]),** [[漢音]] : [[ラン]]([[ラム]])	* 訓読み,*: [[あい]]（常用漢字表内）、[[あお]]、[[あおい|あお-い]]（常用漢字表外）	** [[JIS]]*** 16進：4D75	** [[区点]]：1面45区85点
915	項	*{{部首|頁|3}}	*{{総画|12}}		[[Category:常用漢字|こう]]	* 音読み,** [[呉音]] : [[ゴウ]]（[[ガウ]]）,** [[漢音]] : [[コウ]]（[[カウ]]）	* 訓読み,** 常用漢字表外,**: [[うなじ]]、[[うな]]、[[くび]]	* JIS:** 16進:3960	** 区点:25区64点
923	間	* {{部首|門|4}}	* {{総画|12}}	[[Category:教育漢字_第2学年|かん]]	[[Category:常用漢字|かん]]	* 音読み,** [[呉音]] : [[ケン]]（[[連濁]]あり）,** [[漢音]] : [[カン]]	* 訓読み : [[あいだ]]、[[ま]]	** [[JIS]]*** 16進：3456	** [[区点]]：1面20区54点
924	概	*{{部首|木|10}}	*{{総画|14}}		[[Category:常用漢字]]	* 音読み,** [[呉音]] : [[カイ]],** [[漢音]] : [[カイ]],** [[慣用音]] : [[ガイ]]	* 訓読み,** 常用漢字表内,**: 常用漢字表内の訓読みはありません。,** 常用漢字表外,**: [[おおむね|おおむ-ね]]、[[とかき]]	** [[JIS]]*** 16進：3335	** [[区点]]：1面19区21点
925	日	*{{部首|日|0}}	*{{総画|4}}	[[Category:教育漢字_第1学年|にち]]	[[Category:常用漢字|にち]]	* 音読み,**呉音: [[ニチ]]、[[ニッ]],**漢音: [[ジツ]]	* 訓読み,** 常用漢字表内,**: [[ひ]]、[[か]],** 常用漢字表外,**: [[たち]]、[[す]]、[[こう]]、[[くさ]]、[[いる]]、[[あき]]、[[び]]、[[へ]]	** [[JIS]]*** 16進：467C	** [[区点]]：1面38区92点
926	達	*{{部首|辵|9}}	* {{総画|12}} <!-- en版での総画数=13 -->	[[Category:教育漢字 第4学年|たつ]]	[[Category:常用漢字|たつ]]	* 音読み,** [[呉音]] : [[ダチ]]（表外）,** [[漢音]] : [[タツ]]	* 訓読み,** [[いたる|いた-る]]（常用漢字表外）	** [[JIS]]*** 16進：4323	** [[区点]]：1面35区03点
930	亜	* {{部首|二|5}}	* {{総画|7}}		[[Category:常用漢字]]	* 音読み:,**[[呉音]]:[[エ]],**[[漢音]]:[[ア]]	* 訓読み: [[つぐ|つ-ぐ]]（常用外）・[[みにくい|みにく-い]]（常用外）・[[アール|アール]] (常用外)	** [[JIS]]:*** 16進: 3021	** [[区点]]: 16区01点
931	亞	*{{部首|二|6}}	*{{総画|8}}			* 音読み :,** [[呉音]]  : [[エ]],** [[漢音]]  : [[ア]]	* 訓読み: [[つぐ|つ-ぐ]]	**[[JIS]]***16進：5033	**[[区点]]：48区19点
933	私	*{{部首|禾|2}}	*{{総画|7}}	[[Category:教育漢字 第6学年]]	[[Category:常用漢字]]	* 音読み,** [[呉音]] : [[シ]],** [[漢音]] : [[シ]],** [[唐音]] : [[ス]]	* 訓読み,** 常用漢字表内,**: [[わたくし]]、[[わたし]],** 常用漢字表外,**: [[わたくしする|わたくし-する]]、[[わし]]、[[ひそか|ひそ-か]]	** [[JIS]]*** 16進：3B64	** [[区点]]：1面27区68点
939	鬚	* {{部首|髟|12}}	* {{総画|22}}			* 音読み,** [[呉音]] : [[ス]],** [[漢音]] : [[シュ]]	* 訓読み,*: [[ひげ]]、[[あごひげ]]	** [[JIS]]*** 16進：7224	** [[区点]]：1面82区4点
966	血	* {{部首|血|0}}	* {{総画|6}}	[[Category:教育漢字_第3学年|けつ]]	[[Category:常用漢字|けつ]]	* 音読み:,** 呉音: [[ケチ]],** 漢音: [[ケツ]]	* 訓読み: [[ち]]		
967	火	*{{部首|火|0}}	*{{総画|4}}	[[Category:教育漢字 第1学年|か]]	[[Category:常用漢字|か]]	* 音読み:,** [[呉音]]  [[漢音]] : [[カ]]（[[くわ]]）（例：[[火災]]、[[火事]]、[[灯火]]）,** [[唐音]] : [[コ]]	* 訓読み: [[ひ]]（例：[[はなび|花火]]、[[ひあそび|火遊び]]）、[[ほ]]（例：[[火影]]）	** [[JIS]]*** 16進：3250	** [[区点]]：1面18区48点
968	根	*{{部首|木|6}}	*{{総画|10}}	[[Category:教育漢字_第3学年|こん]]	[[Category:常用漢字|こん]]	* 音読み,** [[呉音]] [[漢音]] : [[コン]]	* 訓読み: [[ね]]		
969	蚊	*{{部首|虫|4}}	*{{総画|10}}		[[Category:常用漢字|か]]	* 音読み,** [[呉音]] : [[モン]](表外),** [[漢音]] : [[ブン]](表外)	* 訓読み,** 常用漢字表内,**: [[か]]	** [[JIS]]*** 16進：3263	** [[区点]]：1面18区67点
970	目	*{{部首|目|0}}	*{{総画|5}}	[[Category:教育漢字_第1学年|もく]]	[[Category:常用漢字|もく]]	* 音読み:,** 呉音: [[モク]],** 漢音: [[ボク]]	* 訓読み,** 常用漢字表内,**: [[め]]、[[ま]],** 常用漢字表外,**: [[さがん]]、[[さっか]]、[[さつか]]、[[さかん]]	** [[JIS]]*** 16進：4C5C	** [[区点]]：1面44区60点
971	手	*{{部首|手|0}}	*{{総画|4}}	[[Category:教育漢字_第1学年|しゆ]]	[[Category:常用漢字|しゆ]]	* 音読み:,** [[呉音]] : [[しゅ]],** [[漢音]] : [[しゅう]],** [[慣用音]] : [[ず]]	* 訓読み: [[て]]、[[た]]、[[てずから]]	** [[JIS]]*** 16進：3C6A	** [[区点]]：1面28区74点
972	胃	*{{部首|肉|5}}	*{{総画|9}}	[[category:教育漢字_第4学年]]	[[category:常用漢字]]	* 音読み:,** [[呉音]] [[漢音]] : [[イ]]（[[ヰ]]）			
974	死	*{{部首|歹|2}}	*{{総画|6}}	[[Category:教育漢字_第3学年]]	[[Category:常用漢字]]	* 音読み,** [[呉音]]: [[シ]],** [[漢音]]: [[シ]]	* 訓読み,** 常用漢字表内,**: [[しぬ|し-ぬ]],** 常用漢字表外,**: [[ころす|ころ-す]]	** [[JIS]]*** 16進：3B60	** [[区点]]：1面27区64点
975	し								
976	鵜	* {{部首|鳥|7}}	* {{総画|18}}			* 音読み,** [[呉音]] : [[ダイ]],** [[漢音]] : [[テイ]]	* 訓読み,*: [[う]]	** [[JIS]]*** 16進：312D	** [[区点]]：1面17区13点
977	屁	*{{部首|尸|4}}	*{{総画|7}}			* 音読み,** [[呉音]] [[漢音]] : [[ヒ]]	* 訓読み: [[へ]]		
978	ち								
979	ね								
980	か								** 区点: 04区11点
983	い							** [[JIS]]*** 16進: 2424	** [[区点]]: 04区04点
986	ひ								
992	混	* {{部首|水|8}}	* {{総画|11}}	[[Category:教育漢字 第5学年]]	[[Category:常用漢字]]	* 音読み,** [[呉音]] : [[コン]]、[[ゴン]](表外),** [[漢音]] : [[コン]]	* 訓読み,** 常用漢字表内,**: [[まじる|ま-じる]]、[[まざる|ま-ざる]]、[[まぜる|ま-ぜる]]、[[こむ|こ-む]],** 常用漢字表外,**: [[まじり|ま-じり]]	** [[JIS]]*** 16進：3A2E	** [[区点]]：1面26区14点
994	あ							**[[JIS]]***16進：2422	**[[区点]]：04区02点
995	弁	*{{部首|廾|2}}	*{{総画|5}}	[[Category:教育漢字 第5学年|へん べん]]	[[Category:常用漢字|へん べん]]	* 音読み,** [[呉音]] : [[ベン]],** [[漢音]] : [[ヘン]]、（瓣の代替字として）[[ハン]]	* 訓読み : [[かんむり]]、[[わける]]、[[わきまえる]]	** [[JIS]]*** 16進：4A5B	** [[区点]]：1面42区59点
996	芸	*{{部首|艸|4}}	* {{総画|7}} <!-- en版での総画数=10 -->	[[Category:教育漢字 第4学年|けい げい]]	[[Category:常用漢字|けい げい]]	* 音読み,*:「藝」の[[新字体]],** [[呉音]] : [[ゲ]],** [[漢音]] : [[ゲイ]],*:固有漢字,** [[呉音]] [[漢音]] : [[ウン]]	* 訓読み,*:くさぎ・る(草を刈り取る事)	** [[JIS]]*** 16進：375D	** [[区点]]：1面23区61点
997	藝	* {{部首|艸|15}}	* {{総画|18}} <!-- en版での総画数=21 -->			* 音読み,** [[呉音]] : [[ゲ]],** [[漢音]] : [[ゲイ]]	* 訓読み,*: [[うえる|う-える]]、[[のり]]、[[わざ]]	** [[JIS]]*** 16進：693A	** [[区点]]：1面73区26点
1004	象	*{{部首|豕|5}}	*{{総画|12}}（中国:11画）	[[Category:教育漢字 第4学年|そう ぞう]]	[[Category:常用漢字|そう ぞう]]	* 音読み:,** 呉音: [[ぞう]]（[[ざう]]）,** 漢音: [[しょう]]（[[しやう]]）	* 訓読み: [[かたち]] [[かたどる|かたど-る]] [[のり]]	** [[JIS]]*** 16進：3E5D	** [[区点]]：1面30区61点
1011	う								** 区点: 04区06点
1013	え								** 区点: 04区08点
1014	お								** 区点: 04区10点
1015	き								
1016	く								
1021	機	* {{部首|木|12}}	* {{総画|16}}	[[Category:教育漢字 第4学年|き]]	[[Category:常用漢字|き]]	*音読み,**呉音: [[ケ]]（常用外）,**漢音: [[キ]]	*訓読み:[[はた]]、[[おり]]	** [[JIS]]*** 16進：3521	** [[区点]]：1面21区1点
1022	ゐ								
1023	ゑ								
1029	け								
1030	こ								
1032	さ								
1033	す								
1035	そ								
1038	秋	*{{部首|禾|4}}	*{{総画|9}}	[[Category:教育漢字_第2学年|しゆう]]	[[Category:常用漢字|しゆう]]	* 音読み,**呉音: [[シュ]],**漢音: [[シュウ]]（[[シウ]]）	* 訓読み: [[あき]] [[とき]]	** [[JIS]]*** 16進：3D29	** [[区点]]：1面29区9点
1039	春	*{{部首|日|5}}	*{{総画|9}}	[[Category:教育漢字 第2学年|しゆん しゅん]]	[[Category:常用漢字|しゆん しゅん]]	* 音読み,** [[呉音]] [[漢音]] : [[シュン]]	* 訓読み: [[はる]]	** [[JIS]]*** 16進：3D55	** [[区点]]：1面29区53点
1040	つ								
1041	夏	* {{部首|夊|7}}	* {{総画|10}}	[[Category:教育漢字_第2学年|か]]	[[Category:常用漢字|か]]	* 音読み:,** [[呉音]] : [[ゲ]],** [[漢音]] : [[カ]]	* 訓読み: [[なつ]]		
1042	冬	*{{部首|冫|3}}	*{{総画|5}}	[[Category:教育漢字_第2学年|とう]]	[[Category:常用漢字|とう]]	* 音読み,** [[呉音]] : [[トウ]],** [[漢音]] : [[トウ]]	* 訓読み: [[ふゆ]]	** [[JIS]]*** 16進：455F	** [[区点]]：1面37区63点
1043	と								
1744	月	* {{部首|月|0}}	* {{総画|4}}	[[Category:教育漢字_第1学年]]	[[Category:常用漢字]]	*音読み,** [[呉音]] : [[ガチ]]（グヮチ）・ゴチ（推定音）・[[ガツ]]（グヮツ：慣用音とも）,** [[漢音]] : [[ゲツ]]（グ<small>ヱ</small>ツ）,** [[慣用音]] : [[ガツ]]（グヮツ：呉音とも）	*訓読み: [[つき]]	** [[JIS]]*** 16進：376E	** [[区点]]：1面23区78点
1762	机	* {{部首|木|2}}	* {{総画|6}}	[[Category:教育漢字 第6学年|き]]	[[Category:常用漢字|き]]	* 音読み,** [[呉音]] : [[キ]],** [[漢音]] : [[キ]]	* 訓読み,** 常用漢字表内,**: [[つくえ]]	** [[JIS]]*** 16進：3479	** [[区点]]：1面20区89点
1863	卵	*{{部首|卩|5}}	*{{総画|7}}	[[Category:教育漢字 第6学年|らん]]	[[Category:常用漢字|らん]]	* 音読み:,**[[呉音]]　[[漢音]]: [[ラン]]	* 訓読み: [[たまご]]	** [[JIS]]*** 16進：4D71	** [[区点]]：1面45区81点
1909	仙	*{{部首|人|3}}	*{{総画|5}}		[[Category:常用漢字|せん]]	* 音読み,** [[呉音]] [[漢音]] : [[セン]]		** [[JIS]]*** 16進：4067	** [[区点]]：1面32区71点
1921	年	*{{部首|干|3}}	*{{総画|6}}	[[Category:教育漢字_第1学年|ねん]]	[[Category:常用漢字|ねん]]	* 音読み,** [[呉音]] : [[ネン]],** [[漢音]] : [[デン]](表外)	* 訓読み,** 常用漢字表内,**: [[とし]],** 常用漢字表外,**: [[ね]]	** [[JIS]]*** 16進：472F	** [[区点]]：1面39区15点
2110	耳	*{{部首|耳|0}}	*{{総画|6}}	[[Category:教育漢字_第1学年]]	[[Category:常用漢字]]	* 音読み :,** [[呉音]] : [[ニ]],** [[漢音]] : [[ジ]],** [[宋音]] : [[ル]]	* 訓読み: [[みみ]]	** [[JIS]]*** 16進：3C2A	** [[区点]]：1面28区10点
2259	氧	* {{部首|气|6}}	* {{総画|10}}						
2364	钬	* {{部首|金|4}}	* {{総画|9}}						
2369	水	*{{部首|水|0}}	*{{総画|4}}	[[Category:教育漢字_第1学年|すい]]	[[Category:常用漢字|すい]]	*音読み:,**[[呉音]] [[漢音]]：[[スイ]]	*訓読み: [[みず]]、[[みづ]]、[[み]]	** [[JIS]]*** 16進：3F65	** [[区点]]：1面31区69点
2408	西	*{{部首|西|0}}	*{{総画|6}}	[[Category:教育漢字_第2学年|せい]]	[[Category:常用漢字|せい]]	* 音読み,** [[呉音]] : [[サイ]],** [[漢音]] : [[セイ]],** [[唐音]] : [[スイ]]	* 訓読み : [[にし]]	** [[JIS]]*** 16進：403E	** [[区点]]：1面32区30点
2478	眠	*{{部首|目|5}}	*{{総画|10}}		[[Category:常用漢字|みん]]	* 音読み,** [[呉音]] : [[メン]],** [[漢音]] : [[ベン]],** [[慣用音]] : [[ミン]]	* 訓読み :	** [[JIS]]*** 16進：4C32	** [[区点]]：1面44区18点
2482	听	* {{部首|口|4}}	* {{総画|7}}			* 音読み,** [[呉音]] : [[ゴン]]、[[チョウ]]([[チャゥ]]),** [[漢音]] : [[ギン]]、[[テイ]]([[ティ]])	* 訓読み,*: [[ポンド|ぽんど]]、[[わらう|わら-う]]	** [[JIS]]*** 16進：5261	** [[区点]]：1面50区65点
2513	硬	* {{部首|石|7}}	* {{総画|12}}		[[Category:常用漢字|こう こう 硬]]	* 音読み,** [[呉音]] : [[ギョウ]]([[ギャゥ]])(表外),** [[漢音]] : [[ゴウ]]([[ガゥ]])(表外),** [[慣用音]] : [[コウ]]([[カゥ]])	* 訓読み,** 常用漢字表内,**: [[かたい|かた-い]]	** [[JIS]]*** 16進：3945	** [[区点]]：1面25区37点
